Game,Year,Units sold(in millions),GameRankings,Metacritic
Pokémon Red and Blue,1996,31.37,88,
Pokémon Yellow,1998,14.64,85,
Pokémon Gold and Silver,1999,23.73,90,
Pokémon Crystal,2000,6.39,80,
Pokémon Ruby and Sapphire,2002,16.22,84,0.82
Pokémon FireRed and LeafGreen,2004,12.0,81,0.81
Pokémon Emerald,2004,6.32,77,0.76
Pokémon Diamond and Pearl,2006,17.67,85,0.85
Pokémon Platinum,2008,7.06,83,0.84
Pokémon HeartGold and SoulSilver,2009,12.72,88,0.87
Pokémon Black and White,2010,15.64,86,0.87
Pokémon Black 2 and White 2,2012,7.63,81,0.8
Pokémon X and Y,2013,16.45,87,0.87
Pokémon Omega Ruby and Alpha Sapphire,2014,14.27,84,0.83
Pokémon Sun and Moon,2016,16.18,88,0.87
Pokémon Ultra Sun and Ultra Moon,2017,8.77,83,0.84
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",2018,15.07,78,0.8
Pokémon Sword and Shield,2019,26.02,83,0.8
Pokémon Brilliant Diamond and Shining Pearl,2021,14.92,,0.73
Pokémon Legends: Arceus,2022,14.83,,0.83
Pokémon Scarlet and Violet,2022,23.23,,0.72
